0.26,1.98,0.43,0.91,2,196.1,100.12,128.19,222.92,134.79,112.53,116.26,113.16,0.05,-0.37,-1.86
2.03,0.26,2.02,2.06,2,153.33,123.57,134.13,100.25,100.27,127.65,115.64,132.04,0.26,-0.27,-2.04
2,2.01,2.01,1.99,0.77,269.47,118.56,128.55,187.19,129.67,116.91,125.51,121.97,0.37,-0.11,2.6
2.01,0.33,1.99,1.99,0.6,106.07,130.36,111.02,108.52,113.98,120.94,115.74,107.37,0.22,0.07,2.47
1.99,0.25,2.02,1.99,0.53,121.91,123.83,108.12,112.83,109.56,111.19,126.05,91.55,0.08,0.26,2.53
1.98,0.33,2.01,1.98,0.87,301.35,100.83,126.7,196.02,118.63,126.49,125.02,115.14,-0.09,0.39,0.99
1.99,0.25,1.99,2,0.6,120.39,126.1,134.4,111.14,148.75,119.1,109.29,114.77,-0.26,0.23,0.86
0.25,2.04,0.46,0.87,1.99,191.68,119.1,119.73,228.48,126.5,122.73,116.79,116.45,-0.37,0.04,-0.21
2.04,0.29,1.98,1.97,0.74,130.63,126.77,107.04,123.14,121.59,131.08,120.85,110.52,-0.26,-0.17,-0.67
2,0.25,1.98,2,0.52,125.57,136.73,119.91,109.77,128.65,176.17,124.84,121.32,-0.1,-0.34,-0.88
1.98,0.31,2.01,1.97,0.76,151.01,114.99,128.05,108.59,115.59,135.99,103.16,139.42,0.12,-0.33,-2.07
1.99,0.23,2,2.01,2.01,135.85,109.17,98.39,133.97,91.18,179.86,112.36,135.55,0.33,-0.22,-2.07
2.01,0.46,1.99,2.03,0.78,183.49,118.78,135.15,104.81,122.5,123.88,119.57,128.88,0.32,-0.04,2.4
2,0.34,2.03,2.01,0.55,117.26,120.41,133.21,121.45,123.12,115.2,116.04,118,0.16,0.14,2.41
2,0.23,1.97,1.99,0.42,113.76,96.26,138.19,110.35,115.4,114.55,133.88,100.01,-0.01,0.31,2.35
1.99,0.26,2,1.99,2,200.84,112.3,121.59,181.82,109.66,104.4,108.9,123.17,-0.21,0.36,1.11
0.22,2.03,1.98,0.87,2.01,141.32,124.71,114.13,427.81,127.98,232.41,123.58,115.71,-0.4,0.22,0.18
1.97,0.48,2.03,2.02,0.69,107.69,126.15,126.57,125.91,131.71,115.04,126.78,118.1,-0.27,0.03,-0.67
1.98,0.26,1.99,1.98,0.61,118.71,110.87,124.89,129.53,131.06,115.57,114.81,122.4,-0.13,-0.16,-0.57
2.04,0.25,1.99,2.01,0.43,142.94,113.99,136.72,107.56,120.09,206.44,103.19,125.22,-0.01,-0.36,-0.67
2,0.26,2.01,2,0.72,127.43,124.69,114.73,95.4,117.43,107.12,132.17,121.51,0.19,-0.31,-2.27
0.24,2.01,2,0.95,2,118.13,136.9,120.24,226.47,103.9,189.68,105.85,124.45,0.36,-0.16,-2.76
1.97,0.39,1.97,2.01,0.75,128.44,105.59,127.16,133.76,143.04,124.28,112.66,127.55,0.29,0.06,2.59
1.99,0.25,2,2.01,0.53,93.86,121.12,135.62,95.61,120.16,126.78,116.81,115.37,0.16,0.26,2.51
1.98,1.99,2.02,2,0.91,291.33,115.71,121.45,248.54,124.3,104.59,119.8,129.53,-0.01,0.39,1.15
2,0.27,1.99,2.01,0.7,134.23,120.74,119.84,106.8,126.98,113.25,118.89,120.58,-0.2,0.25,0.92
2.01,0.24,2.04,2.01,0.52,136.99,122.09,142.27,216.49,130.09,264.98,127.6,127.86,-0.38,0.1,0.52
1.97,0.32,2.01,2,0.74,158.84,119.05,115.1,126.53,118.75,127.15,128.72,81.53,-0.29,-0.1,-0.66
1.98,0.2,1.98,1.96,0.59,122.82,106.36,118.57,114.51,136.64,145.66,127.49,109.88,-0.15,-0.29,-0.62
2.01,0.43,1.99,2.01,0.86,217.32,116.69,118.28,169.14,125,84.95,132.32,120.58,0.03,-0.36,-2.13
2,0.25,1.99,1.98,0.65,132.04,115.25,112.84,108.16,105.03,118.03,116.55,135.62,0.23,-0.24,-2.2
0.24,1.98,0.49,0.83,1.99,212.2,97.16,148.56,287.89,120.5,146.2,123.5,135.4,0.38,-0.07,2.9
2.01,0.29,2,1.99,0.72,121.15,137.56,111.31,114.22,116.82,110.06,116.85,119.58,0.25,0.13,2.53
2.01,0.24,1.98,1.99,0.51,123.82,122.15,123.78,120.23,112.9,152.71,99.88,133.26,0.12,0.32,2.54
1.99,0.38,1.99,2.01,0.85,182.6,113.34,105.79,106.55,101.71,129.26,149.44,136.27,-0.07,0.34,0.91
1.98,0.27,1.98,1.98,0.67,114.72,130.85,106.1,132.81,128.86,102.54,114.14,96.31,-0.25,0.19,0.84
0.25,2.03,0.4,0.89,2.02,209.7,116.95,97.32,296.91,130.49,109.33,112.58,101.51,-0.38,0.01,-0.19
2,0.22,2.01,2.02,0.68,150.72,128.15,120.09,120.32,118.12,122.65,133.64,121.83,-0.26,-0.19,-0.61
2.01,0.23,2.02,1.99,0.51,133.6,110.69,112.49,190.34,110.49,257.64,115.56,110.71,-0.11,-0.37,-0.94
2.02,0.32,2,2.01,0.73,125.91,126.95,110.45,129.44,126.6,118.09,129.47,117.3,0.09,-0.3,-2.18
2,0.23,2.02,1.99,0.64,119.67,121.33,107.56,112.9,118.82,110.92,119.24,113.77,0.28,-0.16,-2.29
0.26,2.02,0.44,0.88,2.01,222.1,100.63,106.99,191.7,124.24,95.06,135.03,130.53,0.35,0.04,2.77
2.03,0.26,1.99,1.99,0.66,118.28,122.71,103.87,115.65,146.82,125.25,131.9,132.4,0.25,0.25,2.67
2.02,0.56,2,1.98,0.83,337.73,125.42,134.96,217.84,110.37,109.33,131.77,119.25,0.1,0.39,0.92
1.98,0.4,1.98,1.98,0.77,107.86,110.92,136.48,111.23,117.73,122.55,127.19,144.84,-0.08,0.23,0.88
1.98,0.23,2,2.02,0.59,113.42,110.09,140.67,126.88,105.07,124.58,108.54,142.99,-0.26,0.08,0.82
0.25,2,0.33,0.83,1.98,207.85,113.31,110.74,244.42,114.66,116.19,130.85,118.11,-0.38,-0.11,-0.15
2.01,0.23,1.98,1.98,0.76,132.6,117.41,119.76,111.99,139.3,124.49,104.07,120.94,-0.27,-0.31,-0.59
2.02,0.52,1.97,1.98,0.83,202.51,116.52,104.31,106.34,118.46,127.46,146.32,112.45,-0.08,-0.35,-2.23
1.99,0.31,2.04,2.01,0.68,116.03,122.91,156.37,128.45,109.94,110.66,115.86,110.73,0.1,-0.2,-2.24
